variable,Model1_FE_coef,Model1_FE_se,Model1_FE_pvalue,Model2_FE_Clustered_coef,Model2_FE_Clustered_se,Model2_FE_Clustered_pvalue,Model3_FE_NoCovid_coef,Model3_FE_NoCovid_se,Model3_FE_NoCovid_pvalue
storm_x_income_l1,4.5266566428710424e-05,7.438275582177531e-06,1.4009151616534155e-09,4.5266566428710424e-05,1.8004559911175562e-05,0.01201356375409146,4.527089801335647e-05,1.7867746338364012e-05,0.011370330397257433
income_log,-0.004496345746822479,0.0024383942327412707,0.0653425075797156,-0.004496345746822479,0.00611269705926889,0.4620806460610627,-0.005379251875069427,0.006313048551171759,0.39427841313869627
zori_growth,0.04790998742966673,0.008957630394602208,9.942815992758369e-08,0.04790998742966673,0.023528426769788682,0.041863221869652634,0.04614573200836672,0.02272027068591098,0.042395194677842474
inventory_growth,0.006155287768811024,0.0021946304622246344,0.005087723726056259,0.006155287768811024,0.0034766610270802966,0.07681153045132794,0.005236998566706912,0.0035943925810985543,0.14529007271311878
N,2012.0,,,2012.0,,,1949.0,,
R2_within,-4.230495170083842,,,-4.230495170083842,,,-4.1588043340687415,,
