check,driver,coef_unadjusted,se_unadjusted,coef_clustered,se_clustered,pvalue_clustered,nobs
clustered_vs_unadjusted_se,storm_x_income_l1,4.5266566428710424e-05,7.438275582177531e-06,4.5266566428710424e-05,1.8004559911175562e-05,,
alternative_lag,storm_x_income_l1,,,4.5266566428710424e-05,1.8004559911175562e-05,0.01201356375409146,2012.0
alternative_lag,storm_x_income_l2,,,3.6573194354992194e-05,1.4730966036689424e-05,0.013123602967282544,2012.0
alternative_lag,storm_x_income_l3,,,2.316709280880794e-05,1.2065757010820466e-05,0.05499922999380291,2012.0
exclude_outlier_period_2020_03_to_2020_05,storm_x_income_l1,,,4.527089801335647e-05,1.7867746338364012e-05,0.011370330397257433,1949.0
subsample_high_income_needed,storm_x_income_l1,,,5.144167478522597e-05,2.075519414362544e-05,0.01338088280018579,985.0
subsample_low_income_needed,storm_x_income_l1,,,2.023680217513619e-05,2.4489614668641258e-05,0.4088244794846694,1027.0
