date,actual,arima_forecast,arima_ci_lower,arima_ci_upper,naive_forecast
2025-02-28,-0.002134466224403126,-0.0009665792754582929,-0.0030729446202195747,0.001139786069302989,-0.001636843772963669
2025-03-31,-0.003732080367500256,-0.00038342312866308445,-0.004763342845356107,0.003996496588029938,-0.001636843772963669
2025-04-30,-0.0051056452575677065,0.0004190130823981961,-0.006542834949597318,0.0073808611143937105,-0.001636843772963669
2025-05-31,-0.005419960363320356,0.0012176594485181422,-0.007476438750032188,0.009911757647068472,-0.001636843772963669
2025-06-30,-0.005354528817308384,0.0019139676513920479,-0.007894313077656648,0.011722248380440746,-0.001636843772963669
2025-07-31,-0.00520101585090777,0.002521051254295051,-0.008055937545547287,0.01309804005413739,-0.001636843772963669
2025-08-31,-0.004844930117107795,0.0030503434547783357,-0.00807549767798301,0.01417618458753968,-0.001636843772963669
2025-09-30,-0.00359251034629266,0.0035118124059290374,-0.008013762196903557,0.015037387008761633,-0.001636843772963669
2025-10-31,-0.0024442430763192318,0.003914148946466921,-0.007906239621295264,0.015734537514229107,-0.001636843772963669
2025-11-30,-0.0013445839710837161,0.004264930275196291,-0.007774729951907431,0.016304590502300015,-0.001636843772963669
2025-12-31,-0.00026194750831022334,0.0045707626522919435,-0.007632939538609641,0.016774464843193528,-0.001636843772963669
2026-01-31,0.0006119228633748548,0.0048374058149106116,-0.007489531053858605,0.017164342683679827,-0.001636843772963669
