RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
394995,115,"Port St. Lucie, FL",msa,FL,42.0,41.0,42.0,43.0,44.0,44.0,45.0,44.0,43.0,42.0,42.0,42.0,44.0,45.0,45.0,44.0,43.0,44.0,45.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,47.0,50.0,51.0,52.0,54.0,54.0,54.0,53.0,54.0,59.0,67.0,72.0,74.0,73.0,71.0,68.0,67.0,64.0,63.0,64.0,68.0,74.0,78.0,75.0,68.0,61.0,56.0,52.0,49.0,45.0,43.0,42.0,44.0,45.0,45.0,46.0,47.0,47.0,48.0,49.0,49.0,47.0,44.0,43.0,42.0,42.0,42.0,42.0,41.0,40.0,39.0,39.0,39.0,38.0,38.0,37.0,38.0,38.0,37.0,37.0,37.0,37.0,38.0,39.0,40.0,39.0,38.0,38.0,38.0,38.0
395146,145,"Tallahassee, FL",msa,FL,48.0,47.0,48.0,50.0,50.0,49.0,48.0,47.0,45.0,44.0,45.0,48.0,50.0,51.0,52.0,52.0,51.0,51.0,52.0,52.0,50.0,49.0,49.0,52.0,55.0,55.0,55.0,58.0,60.0,59.0,59.0,58.0,57.0,56.0,57.0,62.0,68.0,73.0,73.0,71.0,68.0,66.0,64.0,62.0,63.0,64.0,66.0,74.0,82.0,86.0,84.0,81.0,75.0,68.0,64.0,61.0,60.0,57.0,58.0,61.0,65.0,67.0,68.0,70.0,68.0,65.0,62.0,60.0,57.0,55.0,53.0,56.0,58.0,58.0,55.0,53.0,51.0,49.0,47.0,46.0,46.0,45.0,46.0,48.0,49.0,49.0,49.0,49.0,48.0,46.0,46.0,46.0,45.0,43.0,44.0,45.0,45.0
394901,147,"Naples, FL",msa,FL,29.0,29.0,30.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,31.0,31.0,30.0,30.0,31.0,31.0,31.0,33.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,32.0,35.0,38.0,41.0,43.0,44.0,44.0,45.0,46.0,50.0,57.0,65.0,71.0,75.0,75.0,71.0,68.0,67.0,67.0,69.0,73.0,80.0,87.0,85.0,75.0,64.0,54.0,46.0,43.0,42.0,41.0,40.0,39.0,41.0,43.0,42.0,39.0,38.0,37.0,37.0,38.0,38.0,38.0,36.0,35.0,34.0,34.0,32.0,30.0,29.0,28.0,29.0,30.0,31.0,31.0,30.0,31.0,30.0,29.0,27.0,26.0,25.0,26.0,27.0,28.0,29.0,31.0,31.0,31.0,30.0,30.0
394927,149,"Ocala, FL",msa,FL,42.0,40.0,41.0,45.0,47.0,46.0,45.0,44.0,43.0,42.0,42.0,44.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,47.0,46.0,45.0,45.0,48.0,50.0,51.0,54.0,57.0,57.0,58.0,58.0,56.0,55.0,55.0,56.0,57.0,62.0,67.0,70.0,70.0,69.0,67.0,63.0,61.0,58.0,58.0,62.0,67.0,71.0,69.0,66.0,59.0,55.0,52.0,49.0,45.0,42.0,42.0,44.0,45.0,45.0,45.0,45.0,44.0,45.0,47.0,47.0,44.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,37.0,37.0,38.0
394622,155,"Gainesville, FL",msa,FL,50.0,48.0,49.0,51.0,51.0,48.0,46.0,45.0,44.0,44.0,45.0,48.0,53.0,55.0,55.0,52.0,49.0,48.0,49.0,49.0,50.0,51.0,51.0,56.0,59.0,59.0,57.0,59.0,61.0,60.0,60.0,58.0,56.0,53.0,54.0,58.0,63.0,62.0,65.0,67.0,67.0,60.0,58.0,56.0,56.0,55.0,55.0,62.0,69.0,72.0,70.0,68.0,63.0,57.0,53.0,48.0,46.0,45.0,45.0,48.0,52.0,56.0,55.0,55.0,55.0,54.0,50.0,45.0,42.0,41.0,43.0,44.0,45.0,46.0,46.0,44.0,42.0,39.0,37.0,36.0,37.0,37.0,37.0,40.0,41.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,35.0,35.0,36.0,38.0,39.0
753875,176,"Crestview, FL",msa,FL,49.0,49.0,52.0,52.0,50.0,49.0,50.0,49.0,46.0,45.0,45.0,48.0,51.0,53.0,53.0,52.0,51.0,52.0,53.0,52.0,50.0,49.0,48.0,49.0,51.0,53.0,55.0,56.0,57.0,58.0,60.0,61.0,60.0,59.0,60.0,61.0,64.0,70.0,73.0,69.0,67.0,66.0,66.0,62.0,61.0,59.0,59.0,62.0,68.0,73.0,74.0,70.0,62.0,57.0,53.0,51.0,48.0,45.0,43.0,44.0,47.0,49.0,50.0,49.0,48.0,47.0,46.0,45.0,43.0,41.0,41.0,41.0,42.0,43.0,43.0,42.0,41.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,41.0
395009,237,"Punta Gorda, FL",msa,FL,40.0,38.0,38.0,39.0,42.0,43.0,44.0,43.0,42.0,42.0,42.0,41.0,39.0,38.0,39.0,40.0,41.0,42.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,43.0,45.0,50.0,53.0,56.0,58.0,58.0,57.0,57.0,61.0,69.0,77.0,81.0,81.0,77.0,71.0,69.0,66.0,64.0,61.0,62.0,68.0,74.0,76.0,72.0,68.0,60.0,52.0,46.0,44.0,43.0,43.0,43.0,46.0,46.0,45.0,43.0,43.0,41.0,39.0,39.0,39.0,37.0,35.0,35.0,35.0,35.0,34.0,33.0,32.0,31.0,31.0,31.0,33.0,33.0,34.0,34.0,34.0,31.0,31.0,31.0,30.0,30.0,30.0,32.0,34.0,35.0,35.0,35.0,35.0,35.0
394960,242,"Panama City, FL",msa,FL,41.0,41.0,44.0,47.0,49.0,49.0,50.0,48.0,45.0,46.0,50.0,54.0,55.0,55.0,53.0,55.0,54.0,53.0,52.0,50.0,47.0,43.0,42.0,42.0,45.0,45.0,43.0,42.0,47.0,52.0,55.0,53.0,53.0,52.0,53.0,53.0,54.0,58.0,66.0,71.0,72.0,70.0,66.0,59.0,57.0,56.0,56.0,59.0,66.0,70.0,68.0,62.0,55.0,49.0,44.0,41.0,37.0,36.0,35.0,36.0,37.0,40.0,42.0,42.0,40.0,38.0,38.0,36.0,35.0,34.0,33.0,34.0,35.0,35.0,35.0,34.0,34.0,35.0,34.0,34.0,33.0,31.0,31.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,34.0,34.0,34.0,34.0
395079,274,"Sebastian, FL",msa,FL,40.0,38.0,38.0,39.0,40.0,39.0,37.0,37.0,38.0,37.0,35.0,35.0,36.0,38.0,37.0,36.0,35.0,37.0,39.0,39.0,39.0,37.0,36.0,35.0,35.0,35.0,37.0,39.0,41.0,40.0,40.0,40.0,44.0,48.0,50.0,53.0,62.0,73.0,75.0,74.0,74.0,76.0,72.0,69.0,68.0,66.0,65.0,70.0,80.0,84.0,82.0,73.0,63.0,55.0,53.0,51.0,46.0,42.0,42.0,44.0,45.0,44.0,44.0,43.0,43.0,44.0,46.0,46.0,41.0,38.0,37.0,37.0,37.0,37.0,37.0,37.0,36.0,36.0,35.0,35.0,34.0,33.0,34.0,35.0,35.0,34.0,33.0,34.0,34.0,34.0,35.0,35.0,34.0,34.0,34.0,35.0,36.0
394685,289,"Homosassa Springs, FL",msa,FL,36.0,37.0,39.0,41.0,42.0,42.0,42.0,41.0,39.0,38.0,37.0,38.0,38.0,40.0,40.0,40.0,39.0,42.0,45.0,46.0,45.0,43.0,41.0,41.0,44.0,44.0,42.0,44.0,50.0,54.0,58.0,58.0,58.0,59.0,56.0,54.0,59.0,68.0,72.0,72.0,69.0,66.0,64.0,62.0,60.0,59.0,58.0,59.0,66.0,72.0,72.0,69.0,62.0,55.0,49.0,46.0,42.0,39.0,37.0,38.0,40.0,41.0,41.0,41.0,41.0,40.0,41.0,41.0,40.0,38.0,37.0,36.0,36.0,37.0,37.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,34.0,34.0,33.0,32.0,32.0,33.0,34.0,33.0,32.0,33.0,33.0,32.0,31.0,32.0
395153,329,"The Villages, FL",msa,FL,46.0,45.0,45.0,53.0,55.0,58.0,54.0,52.0,47.0,46.0,44.0,43.0,43.0,44.0,47.0,49.0,49.0,49.0,53.0,53.0,51.0,50.0,50.0,52.0,54.0,53.0,50.0,50.0,50.0,50.0,51.0,51.0,47.0,45.0,43.0,45.0,52.0,62.0,67.0,66.0,69.0,70.0,70.0,67.0,67.0,68.0,67.0,70.0,72.0,73.0,69.0,64.0,57.0,51.0,48.0,46.0,44.0,45.0,43.0,42.0,44.0,47.0,46.0,42.0,40.0,41.0,43.0,42.0,41.0,40.0,38.0,41.0,44.0,46.0,44.0,42.0,39.0,38.0,37.0,39.0,39.0,37.0,35.0,36.0,36.0,37.0,38.0,36.0,33.0,34.0,37.0,38.0,36.0,35.0,38.0,40.0,40.0
395080,390,"Sebring, FL",msa,FL,31.0,32.0,35.0,36.0,37.0,37.0,37.0,35.0,34.0,34.0,34.0,34.0,34.0,35.0,36.0,36.0,35.0,36.0,38.0,39.0,39.0,37.0,35.0,35.0,37.0,38.0,37.0,42.0,46.0,49.0,48.0,49.0,50.0,52.0,54.0,56.0,59.0,63.0,67.0,69.0,68.0,66.0,63.0,60.0,58.0,56.0,56.0,60.0,67.0,70.0,66.0,64.0,58.0,52.0,48.0,45.0,42.0,42.0,43.0,43.0,41.0,43.0,45.0,44.0,43.0,42.0,44.0,42.0,39.0,36.0,35.0,37.0,38.0,39.0,39.0,39.0,37.0,34.0,34.0,35.0,35.0,34.0,33.0,34.0,35.0,35.0,34.0,34.0,33.0,33.0,33.0,33.0,31.0,31.0,32.0,32.0,31.0
394744,442,"Key West, FL",msa,FL,23.0,31.0,35.0,37.0,30.0,31.0,27.0,23.0,24.0,24.0,24.0,23.0,22.0,22.0,22.0,24.0,21.0,25.0,31.0,33.0,33.0,31.0,31.0,28.0,28.0,24.0,24.0,26.0,31.0,36.0,41.0,41.0,38.0,38.0,40.0,46.0,58.0,77.0,81.0,78.0,73.0,74.0,74.0,73.0,69.0,68.0,75.0,83.0,86.0,86.0,81.0,71.0,59.0,54.0,49.0,44.0,39.0,38.0,36.0,37.0,39.0,38.0,34.0,33.0,31.0,31.0,27.0,27.0,29.0,32.0,28.0,26.0,25.0,27.0,25.0,23.0,21.0,21.0,20.0,21.0,21.0,21.0,23.0,24.0,24.0,23.0,25.0,23.0,22.0,24.0,26.0,24.0,24.0,23.0,21.0,21.0,24.0
394955,479,"Palatka, FL",msa,FL,23.0,20.0,17.0,21.0,29.0,41.0,35.0,32.0,19.0,15.0,10.0,25.0,42.0,43.0,36.0,30.0,30.0,29.0,29.0,27.0,30.0,28.0,21.0,16.0,26.0,30.0,32.0,41.0,63.0,76.0,81.0,81.0,72.0,67.0,64.0,78.0,88.0,110.0,118.0,114.0,82.0,65.0,66.0,64.0,60.0,60.0,63.0,75.0,90.0,95.0,83.0,78.0,62.0,45.0,33.0,37.0,37.0,32.0,23.0,20.0,33.0,39.0,45.0,33.0,34.0,24.0,25.0,22.0,21.0,13.0,13.0,17.0,26.0,26.0,23.0,15.0,25.0,26.0,12.0,-1.0,,0.0,,,8.0,7.0,9.0,14.0,14.0,8.0,12.0,,1.0,,-1.0,5.0,6.0
394764,489,"Lake City, FL",msa,FL,20.0,24.0,38.0,39.0,35.0,42.0,57.0,65.0,43.0,35.0,29.0,34.0,25.0,26.0,33.0,33.0,31.0,49.0,63.0,64.0,47.0,53.0,42.0,62.0,72.0,69.0,60.0,90.0,114.0,116.0,112.0,113.0,118.0,132.0,142.0,139.0,131.0,110.0,98.0,88.0,87.0,72.0,65.0,55.0,51.0,44.0,49.0,56.0,69.0,73.0,82.0,103.0,99.0,69.0,39.0,32.0,26.0,19.0,10.0,8.0,,24.0,29.0,35.0,40.0,48.0,49.0,41.0,36.0,38.0,45.0,44.0,44.0,35.0,36.0,36.0,34.0,29.0,23.0,20.0,14.0,15.0,18.0,22.0,31.0,24.0,18.0,20.0,29.0,20.0,12.0,15.0,7.0,0.0,,,-3.0
394934,701,"Okeechobee, FL",msa,FL,41.0,28.0,19.0,35.0,59.0,52.0,43.0,31.0,2.0,-33.0,-37.0,-17.0,-10.0,17.0,29.0,30.0,23.0,28.0,41.0,43.0,37.0,24.0,18.0,24.0,25.0,42.0,71.0,96.0,114.0,124.0,148.0,150.0,136.0,121.0,100.0,99.0,105.0,132.0,138.0,149.0,139.0,129.0,114.0,103.0,99.0,119.0,152.0,181.0,158.0,133.0,86.0,113.0,138.0,155.0,83.0,63.0,44.0,33.0,5.0,4.0,6.0,11.0,25.0,9.0,8.0,7.0,16.0,5.0,3.0,6.0,3.0,3.0,,45.0,56.0,55.0,42.0,21.0,-5.0,-12.0,-14.0,-20.0,-37.0,-28.0,-17.0,-3.0,-6.0,-17.0,-27.0,-36.0,-22.0,-24.0,-29.0,-35.0,-23.0,-20.0,-23.0
394476,704,"Clewiston, FL",msa,FL,48.0,48.0,45.0,46.0,51.0,58.0,62.0,58.0,54.0,50.0,47.0,46.0,49.0,49.0,49.0,49.0,46.0,45.0,47.0,52.0,50.0,46.0,46.0,50.0,48.0,45.0,44.0,52.0,54.0,65.0,69.0,68.0,56.0,52.0,49.0,53.0,55.0,56.0,52.0,55.0,54.0,53.0,51.0,50.0,48.0,45.0,44.0,45.0,45.0,46.0,47.0,46.0,46.0,45.0,45.0,42.0,40.0,38.0,39.0,40.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,44.0,45.0,47.0,46.0,44.0,45.0,47.0,47.0,47.0,45.0,42.0,41.0,44.0,44.0,45.0,45.0,46.0,45.0,45.0,46.0,45.0,44.0,41.0,41.0,42.0,43.0,43.0,40.0,40.0,42.0
394335,782,"Arcadia, FL",msa,FL,23.0,10.0,29.0,51.0,34.0,0.0,-4.0,-9.0,-27.0,-17.0,0.0,-5.0,-14.0,-13.0,0.0,-9.0,1.0,30.0,80.0,64.0,34.0,15.0,24.0,32.0,41.0,35.0,21.0,37.0,55.0,70.0,90.0,90.0,80.0,77.0,86.0,126.0,160.0,170.0,144.0,153.0,141.0,177.0,193.0,164.0,133.0,138.0,123.0,129.0,181.0,170.0,171.0,180.0,147.0,73.0,61.0,50.0,13.0,10.0,25.0,53.0,79.0,96.0,67.0,26.0,31.0,53.0,58.0,37.0,25.0,19.0,5.0,-6.0,-16.0,-2.0,-5.0,4.0,-4.0,3.0,15.0,28.0,12.0,-2.0,-8.0,-4.0,-8.0,-4.0,-18.0,-12.0,-6.0,2.0,-3.0,-6.0,-18.0,-21.0,-18.0,-16.0,-22.0
395214,859,"Wauchula, FL",msa,FL,37.0,38.0,,43.0,44.0,,44.0,42.0,,42.0,43.0,48.0,48.0,48.0,45.0,47.0,50.0,57.0,59.0,58.0,51.0,48.0,50.0,54.0,53.0,56.0,57.0,67.0,82.0,84.0,73.0,65.0,63.0,59.0,57.0,59.0,63.0,75.0,77.0,75.0,70.0,72.0,67.0,61.0,56.0,58.0,56.0,64.0,71.0,79.0,73.0,72.0,65.0,63.0,56.0,57.0,54.0,55.0,57.0,66.0,66.0,68.0,71.0,67.0,55.0,55.0,58.0,54.0,49.0,54.0,54.0,52.0,55.0,57.0,54.0,50.0,48.0,45.0,46.0,53.0,56.0,55.0,50.0,48.0,47.0,49.0,47.0,45.0,42.0,42.0,40.0,43.0,43.0,45.0,44.0,46.0,44.0
