RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
394856,8,"Miami, FL",msa,FL,1460.4748203413844,1466.081616176838,1471.3728202805494,1478.2290810189027,1486.8578983130199,1495.350907372765,1504.2950914857258,1511.711322076521,1522.7535375301861,1530.1338939276573,1539.325439783587,1542.2459557826091,1545.8350675219374,1547.139174235656,1549.4209187005108,1550.8210227029601,1550.3779155445422,1550.8079039763368,1552.9502952402363,1555.6715095751308,1560.6847127575693,1563.370783887937,1567.0943317325557,1566.0187361770065,1570.7682885678396,1574.1428938470804,1582.1814071697074,1584.4730712441726,1586.9972973002466,1589.8472537591042,1595.0499589027831,1602.1541448059652,1608.7763191921997,1614.2185046423283,1615.504563856389,1616.504653782167,1618.184495652605,1621.0839783420074,1624.8330807792927,1628.7775276016941,1632.8527171957032,1637.9023847583585,1643.2332928092846,1649.97996083791,1654.9911039960082,1661.909081759956,1667.9985674459153,1673.2104040060024,1672.5254476064868,1671.0775570752157,1671.4686790828666,1674.45533108799,1679.6660145277642,1683.7707635538977,1689.0074865553286,1692.7651479448657,1698.8801231247649,1708.2464489837655,1718.6087914466484,1725.0501824826358,1726.7717249009884,1729.2808770529175,1730.451450653237,1724.4406618114594,1715.7838223404503,1714.287580698089,1719.767497788546,1725.3114753705586,1730.7840842065355,1743.4020948015784,1760.9259183474385,1776.5091670988318,1791.6860807896553,1814.093770603807,1842.5420355798979,1876.2677127902523,1915.0647307650656,,,2092.277041608571,2149.525307232166,2191.054631305676,2235.1942271579887,2280.6319139675907,2321.652633305001,2354.316817000913,2389.6393090170973,2430.2606821393433,2469.4394588960668,2496.0450288139814,2515.304998029102,2523.0569594143158,2530.6663240383673,2533.1549417483916,2539.2140873452777,2541.9964200335444,2543.602422248055,2546.125058828986,2552.4683315786056,2558.249018047327,2564.166133676986,2567.14912480681,2570.8290192245786,2574.581997298801,2578.6668346098772,2585.813297990018,2588.135364870946,2583.2698202391884,2581.6081251561286,2587.346477184635,2599.1094760183814,2607.190218980262,2610.725618672516,2613.921865766999,2619.2464492778067,2624.0092408875325,2629.345078962278,2630.0425171584634,2629.5833091622258,2628.419646195832,2630.81804476573,2636.122082288812,2643.9080475392993,2648.7339975856626,2650.8248331998507,2650.5114679418903,2650.5872330144753,2650.6264306247153,2649.2067237317374,2647.829696871167,2646.7040926823433,2645.283467952411,2645.0749176319114
395148,18,"Tampa, FL",msa,FL,1039.1764508892745,1042.5711951791786,1046.3862950253592,1054.3644752691196,1062.633569686894,1069.8799161915867,1074.8489525383768,1077.4409152160838,1080.0436245932847,1083.7372281240218,1088.5459370370988,1094.0359175110996,1098.093434903583,1102.688242119878,1105.4712357582978,1112.3112593675448,1116.666841546906,1124.1664457729526,1125.8261245522285,1129.1402840259318,1132.4996317251516,1137.317183383612,1141.0031247129925,1142.0601826873633,1146.8562525452778,1152.3557746458703,1161.9021814895216,1171.2025494592478,1180.9080409793557,1188.1799455445573,1190.5983927151929,1190.4355493863334,1190.2642568590315,1192.534231938308,1197.1301549756165,1203.1701378694702,1209.2344703798005,1215.474222211574,1222.207187514815,1231.7634649413728,1240.1244689814,1249.1646258681992,1253.5709677868967,1258.2754303492763,1256.1236992529368,1258.0394581081412,1263.2130596393806,1267.4456498618629,1271.3627305830728,1272.8004586484901,1281.3361074021918,1290.5986570794075,1299.9259679326683,1307.1052234946708,1310.8877218734779,1315.421048184465,1317.18203962252,1319.1177389319616,1318.492930614385,1322.6315168798185,1326.7864480426545,1332.6936191720429,1341.4470035922147,1343.67948409735,1345.8252279066332,1347.9711445829932,1361.9443249726746,1376.9516085007397,1388.7473373413754,1396.6232636739282,1403.9080669520672,1413.2917581431477,1425.1343502500051,1440.7904845095097,1457.940316527568,1483.720817035336,1520.0449033805655,1568.5304321796386,1620.8381266459994,1675.2924619945807,1717.1964993696085,1745.9170198255842,1759.6445634190895,1778.874388185725,1792.9176218993384,1810.3927827612642,1825.923178607505,1851.0442283166774,1876.7652422732974,1900.0258372233475,1916.9861294498558,1922.8272976382596,1918.9358661110928,1912.0958648517924,1910.6560414058579,1911.1375411882718,1914.9769153780815,1917.3081221926373,1930.8501090926434,1939.3644462479667,1947.7301577276946,1947.4848958176033,1952.7567476550503,1960.9145219918123,1962.4669546386124,1960.3287553025918,1953.7538434571536,1951.4843874327905,1951.4311049734374,1953.863686108764,1959.413784107774,1962.7283843813939,1965.398338715758,1966.7086718069281,1972.8370436848647,1974.6916066703404,1974.8230833906557,1979.5491610693114,1990.0537544788242,2002.5823095334267,2011.2910010350356,2021.6097831633217,2032.6569949281663,2034.748461240258,2032.9701282564167,2028.6289192670072,2025.4800122343602,2020.263136706621,2011.2366948766833,2002.6332482455089,1992.7386383255696,1988.8493005364642,1986.4800755052038
394943,22,"Orlando, FL",msa,FL,1091.0607250113867,1096.5675730814955,1103.9821839859492,1113.0224319075644,1121.6050605105147,1127.5766629904608,1133.58507727373,1138.0906650678546,1143.0427690441918,1145.5345543898907,1147.1900394688125,1148.9090044819188,1150.95569665398,1154.4524107340271,1160.3011245790517,1167.924598685738,1177.4697196642749,1184.9970406247337,1191.2899994358957,1195.5438390179359,1197.9875596099841,1199.095695133115,1198.0189670350894,1197.1813679656582,1202.8002690371027,1211.6874017699322,1217.1251398615377,1225.593264519344,1235.4828700964438,1251.4249688290097,1258.4296915125503,1260.6987047483815,1260.161280833251,1260.165793969607,1264.3791092640097,1272.8974516128824,1281.328577274785,1289.6801113949862,1298.6012167145527,1305.4075830787697,1314.6905164034163,1322.3171558199174,1332.7403868170293,1338.9748835664423,1342.2551765526403,1342.9168329230213,1343.8772665142717,1345.3204410735984,1349.9668599544775,1353.9029575986583,1362.8208095769598,1372.7574193757182,1382.0358263117391,1390.067136935073,1394.3106478029276,1397.6105122451052,1400.2503991670028,1401.0981270776026,1399.4239530177676,1400.4927291800932,1401.8803034466366,1408.9325846991862,1411.8637338074868,1411.0999390718741,1409.429036132081,1409.2131969655786,1416.813574470549,1420.2865341995425,1423.422019268211,1422.839901034227,1426.0614677922852,1427.2913680671368,1435.96575571783,1447.3574725452288,1463.396306091581,1483.9863783394733,1514.0348138267332,1554.2818355661334,1595.1344227751324,1637.8806520255407,1677.25197320628,1709.6982461418988,1728.256120754081,1739.3304121979884,1750.5024173324157,1766.3575448358886,1791.053670783707,1818.373878782874,1851.2628627490897,1878.6975329121615,1901.8119418898834,1910.1229768107746,1904.1496808719041,1894.077208613957,1885.6472617688714,1881.4204006844432,1880.8999205474347,1885.8463853637447,1900.2774143108484,1911.5827569347705,1921.4911573298536,1922.8906711894756,1924.023789078577,1922.1382665333977,1914.4861592802695,1903.183322414644,1891.0785200319676,1884.0751072802689,1888.2393916237675,1893.2205814811991,1903.888075705714,1914.2000991540906,1926.4402909707103,1935.6776995601303,1941.3824113671901,1939.8095920716316,1934.2310783497726,1920.8778525728128,1911.0206301964092,1903.3924021596674,1908.1748994143622,1918.1131490606956,1932.6197459334587,1941.3119203685053,1946.8010131131184,1950.0701453960676,1947.3302928524558,1946.4250218833215,1940.0253300406655,1931.74625180866,1920.685451624991,1913.69102179038,1917.3641354893682
394714,40,"Jacksonville, FL",msa,FL,987.3169488598825,989.4759199415827,994.4524340780275,997.8496667775914,1004.9423998991581,1009.9778948860867,1014.8315110147167,1018.1553304530725,1017.8218374694734,1020.1234826003465,1018.4445050497877,1020.9275914641815,1022.0746983714541,1025.9500043644991,1031.566413958663,1037.1451371654525,1044.1099204234815,1048.5789048631912,1049.2782864246237,1051.2606459011915,1049.8453799340064,1051.3665013597301,1048.7912580162526,1047.0920313772217,1049.901580620746,1056.2519707046567,1068.8757695152806,1077.0954498412939,1085.4903782256913,1091.9024989991176,1097.8327146667523,1100.3574852069917,1097.9433696195536,1095.789559774299,1098.2928356557313,1104.1089927050623,1111.3747184379044,1115.338773198671,1123.60312453258,1130.7182390724936,1140.9118342364757,1146.972165717545,1153.166093210118,1154.7762134154864,1154.555109034332,1154.3948205362758,1159.5684463558814,1162.6357506311406,1165.5459868832415,1167.3490365251166,1174.2913875262818,1182.9006729257146,1190.091815974068,1196.4045169123606,1198.57267986586,1202.4808918569736,1203.498864910771,1204.5992153116297,1203.6118253979823,1207.7832511411066,1211.1225683947114,1216.8679963875113,1223.7999078098335,1225.9999974262914,1227.5952204682278,1228.156298435291,1237.9526326255911,1251.0308213447704,1259.0385930384732,1266.264442320472,1270.306680721811,1276.2239358318016,1287.497151978123,1296.5823069055207,1315.4720640318815,1336.8517942104074,1368.2891024717842,1403.2422846487193,1439.86363519744,1476.2347026015757,1502.024210805983,1521.0863454304722,1530.8652982558783,1541.5826911155432,1545.9544989565893,1558.91077754257,1568.135771684639,1588.8513772164963,1603.128689328893,1623.3964375612,1633.6769678910784,1641.4344766218437,1637.8319231044948,1638.048169467709,1631.9565891304142,1627.211228424272,1622.9239523773501,1623.7233197494004,1635.5553897063896,1643.0426594287014,1653.0604313415115,1654.1225599555216,1657.9645778503923,1659.1117085554718,1656.3440850322697,1644.2033326243823,1635.1887716724948,1626.434656084417,1630.6871210792872,1635.052702470905,1646.7896977299176,1654.3077790521816,1662.7834128672348,1665.9309767820612,1669.1866453242055,1667.4849833902365,1663.9755420404742,1659.4793201832056,1656.571743517187,1653.195834300163,1654.922171689412,1656.1919054458244,1665.3763245158116,1670.8795401187685,1679.6979865924488,1683.4518993114984,1683.5935702577242,1682.9438831662355,1682.415057734051,1677.4587277824453,1667.906901017106,1660.3661367370476,1658.7782629227313
753906,73,"North Port, FL",msa,FL,1212.520275650145,1211.6218994801957,1201.7159569428627,1198.8106273416113,1206.1649624764077,1211.923139075714,1220.9502459689465,1222.7568481374965,1234.806148362675,1251.4448232795185,1265.2242112550541,1266.7681419872404,1264.7867182844054,1270.3954687669545,1274.6442774943837,1267.8246983557576,1254.7538755586406,1255.0265573002691,1260.9938622386198,1266.3432494783272,1267.4652247136814,1274.7396468840675,1289.5012935803102,1306.772562684281,1308.6403332243954,1307.2163974786674,1311.8833529698582,1322.1576438441855,1320.0370594163649,1314.7834594300864,1308.9777888973406,1314.9156877246348,1326.9114003994941,1347.6618090660327,1357.2118509978302,1365.0871202815156,1364.3279893937072,1369.3387898268265,1362.1026067403454,1349.7149349927856,1344.6628617197543,1346.1448585806152,1357.7306077312373,1367.132385566416,1375.993708999708,1384.5154826030985,1396.3133609354757,1403.583873277743,1410.8419679675062,1406.7274567949748,1409.288399296701,1399.6171990953258,1396.084479416266,1396.3444230293126,1406.3190927610085,1421.1639750520844,1427.7412952796255,1437.349989706897,1451.5344363396614,1462.0159496826634,1468.0818704000783,1460.058411149344,1450.791155254618,1436.8589174168235,1430.3341310464216,1430.9787149273996,1446.4074197798293,1456.986526107449,1475.0435281809685,1498.966773851282,1532.5057496267705,1559.4362970488498,1552.9584568372877,1551.3644085490396,1559.01521469273,1585.6066540016739,1624.0405550486023,1677.0144810143925,1746.9103275615616,1816.6033010075164,1873.6427769033594,1920.5692838800737,1959.934677261006,1985.300235564413,2014.1185783120204,2020.6689063523017,2030.0952988920703,2046.8299872265848,2062.594973731605,2086.492612278751,2089.936300303262,2082.3486124054725,2086.4343021666423,2095.3453517683756,2130.4227818339,2140.5855640896007,2154.7260178977103,2152.7597277067052,2159.5653134210415,2151.142522315989,2142.2132157087676,2128.7934605862356,2126.946566658693,2126.732999596803,2131.626477250596,2135.7193693485697,2135.556060274377,2136.2585699140045,2132.891746431966,2135.575656249789,2130.6766264953044,2122.9088903487595,2122.7567840515926,2122.2575170610226,2119.3516324343313,2127.284795876584,2130.166573321213,2143.9621063328505,2143.677195520593,2146.556582077196,2145.19301446515,2144.420519499788,2146.894552466648,2137.4039642406724,2127.8062090320964,2110.1113926803864,2108.5694197792286,2099.6441934607606,2097.6809679130715,2091.568704207627,2090.474896390326,2084.109460719621,2080.5240165734826
394440,78,"Cape Coral, FL",msa,FL,974.5672644106927,983.0011963612907,988.5989219641144,1003.4012981138028,1012.3151463177242,1025.692884315346,1033.5629118915265,1040.38675976509,1055.05026175473,1061.2882547120716,1081.2863584978434,1081.9010655764864,1092.300908914494,1084.3094905220662,1089.4095540843812,1094.1378240436136,1100.351067159509,1103.4179704927571,1106.784765558213,1114.8366236689674,1121.5639777299957,1123.3444615726148,1127.161060909369,1130.32181416387,1139.0683376244472,1144.9115619904067,1150.6128216694392,1152.3218851087477,1152.1600010113507,1153.269040910823,1156.2546660147004,1161.1966886592716,1166.9732941149832,1173.2021830371393,1181.9385189588604,1187.6852690869127,1196.089894773175,1204.0919154649325,1207.3398555995777,1204.1032326015766,1200.9454395650384,1202.6950464253057,1207.5219522458613,1220.3121666940895,1223.5662020711088,1230.8850699195077,1225.291743851455,1230.3982505667047,1234.9901966229618,1239.500324670401,1240.3431210248432,1242.0674803527863,1244.0126016028719,1250.6842410354704,1252.9366621660017,1255.4339577138878,1257.2601403686017,1262.8302576916942,1272.3078488355814,1276.9148618600302,1280.1616828935478,1281.8558311720558,1284.1892305905055,1276.7982831996628,1279.3885761777665,1284.6224965855135,1304.7603806244315,1323.1706190251032,1336.569955165251,1350.326249107563,1355.1086423977333,1368.682772422004,1372.9751080421931,1380.1442270680545,1396.0997282021922,1416.401313454395,1445.4639822225456,1478.4847458704992,1524.4564324727223,1585.9913656399904,1635.747538782413,1673.1556317598274,1711.058033168231,1750.0171451448293,1781.9725113240631,1785.8245185133499,1787.4631730300225,1812.1451093869641,1850.7039243833426,1872.1660218042498,1885.70401355513,1885.5640322905826,1901.4234332077085,1938.2449444948186,1978.3603565026847,2012.60045701514,2013.2943473575785,2010.5735644104514,2020.6034830571134,2015.2930862986186,2004.0546684206533,1984.6069169585803,1975.0512336138054,1978.2513497372513,1976.8783869203878,1981.0309272422492,1973.0328382203722,1976.3806005585363,1973.8439917778755,1971.9788087142256,1959.1142520562248,1945.9729260759846,1936.2731841429934,1929.9898846220049,1926.2575518621843,1931.7216084122076,1935.7279978175447,1937.0063517650945,1930.906687056151,1927.0956429086905,1920.6806829383067,1915.0181684575036,1914.2446362523328,1910.7608509889521,1901.9281160043388,1887.9295152962209,1886.65113970253,1874.0681646693786,1866.2039818911987,1849.0064692789913,1838.8484202175914,1837.5982585563506,1832.6003983854673
394766,82,"Lakeland, FL",msa,FL,994.4033780552809,996.0411536515529,1003.751005072963,1017.5762582860524,1027.4729894293487,1031.2785079674154,1034.6004174311543,1034.6958590643867,1033.3727944720076,1034.712375024095,1040.3081551119726,1041.8264116053927,1047.756892145141,1049.0725118361847,1055.3780267705433,1061.923668391318,1069.2527511271323,1076.5377994628498,1078.6729869645044,1082.8975736397404,1087.6927162450586,1085.6492835373165,1085.1875474183532,1085.5074127140947,1091.7417636265943,1098.8374774956787,1107.6277889860692,1116.185884655944,1128.512235909492,1135.477539104295,1138.5596504076802,1136.731349505426,1135.9887383240346,1139.7585820787176,1144.8878518569743,1149.0796100156363,1151.4245681264504,1156.8933574555358,1169.1482712254594,1182.7205216731297,1195.0264459041791,1202.1341946752427,1209.1517259394059,1211.7666779511574,1213.369400927452,1215.5461359560463,1218.1159162796441,1224.9683661566103,1230.2702274879807,1236.6514292207228,1246.5181722874154,1253.0872412198835,1259.464967470892,1264.4263656559974,1269.233066175181,1277.7914386235477,1280.9954005826496,1286.3492917090186,1283.006701219262,1285.1019788123301,1290.6409833957061,1298.4800604770198,1302.0026642511993,1324.4644558071025,1330.4946124094142,1330.3782129394128,1321.33961001642,1335.368892493261,1359.34112409161,1369.6585560893127,1378.2744866473702,1379.0825928450795,1387.6819176193444,1387.1434924041716,1401.0326903308676,1420.3537215013355,1453.7514527389742,1491.8715739957147,1530.1816827397101,1566.94378399712,1597.1445796283815,1622.115272806259,1641.2663135466305,1649.395054018744,1659.8758942037339,1669.0765644634655,1690.7784464320848,1710.1469504133424,1736.0281944985352,1756.986851214175,1774.6507466214132,1779.0096060012713,1772.7214874008944,1768.8468153998954,1769.1104026648309,1770.9437147367505,1772.120972647803,1776.6171737574682,1786.086642716014,1790.999282053346,1794.9199188832622,1803.625477517231,1807.827898299758,1812.7207863938509,1803.959595886058,1796.4769277464086,1789.1679645876761,1791.0524861762894,1797.1991658493198,1807.3646659100796,1816.2208140347088,1824.4243682239696,1828.4618648194821,1826.2595644025741,1824.9020121921617,1822.9695294456455,1817.840861291904,1807.2876495048956,1803.1332269302625,1805.9846297036868,1815.6477298956277,1822.787090561832,1831.7178062145795,1837.5597035986088,1843.9014674738119,1845.7609163808295,1848.7512629331857,1842.0659923368721,1840.9769752104742,1833.1784084632388,1829.68433029077,1824.4354378109674,1825.6719382059364
394528,90,"Deltona, FL",msa,FL,932.3353945385073,931.6400750930893,935.6449386993776,940.0057570551354,952.0815632379979,958.9679332145724,967.7153132031032,969.0341032199999,982.7631116487837,988.2523777315713,993.1314638951504,985.8802613988222,986.7810560063333,988.6973243525415,997.61376709337,1007.1109393827713,1019.2158013690325,1024.4491606169443,1029.2263686166202,1032.1206028290517,1037.1102192671876,1037.4538383320744,1042.4194961573373,1042.8382686361629,1051.939296447556,1052.4579710032604,1051.6809348414731,1057.6976670668046,1070.2741952145102,1088.406010024066,1094.1028421285334,1098.7916719250295,1099.0107642216137,1100.4430274245833,1101.6935880949386,1108.2672436436799,1112.8859262434269,1115.889967831312,1127.9738299511362,1141.9038765328257,1153.9451230848601,1159.1185738571187,1160.004271005258,1165.7657690024712,1169.0443280177074,1173.8673808581818,1179.1357473332591,1183.3222090704753,1187.3445690928447,1191.4143642047268,1201.0317179980682,1208.831367095141,1216.9606232554195,1218.950335816151,1221.8638206561898,1225.581890367884,1227.315141661004,1231.102411403014,1231.1845772932445,1235.1360785000616,1238.531937939324,1244.2995228785999,1253.579213651718,1256.1826913694113,1262.6724680723578,1265.03034458462,1277.0638099295652,1282.7941981496797,1293.8358965610344,1305.9809249207422,1311.9060959082483,1314.4741302606199,1319.198130571442,1334.8738413111423,1354.034345977132,1371.4049279800136,1386.5921720759986,1406.646605908034,1438.6640382665107,1475.6056308246991,1508.2511764520636,1536.9492189597015,1556.5113644777016,1571.14771922138,1578.1481105512482,1594.3442562162315,1613.7072296259817,1636.7486124614968,1665.231297912309,1689.6479180546223,1706.9886055753384,1708.6374695372654,1712.8547987941527,1713.2587431751317,1716.9371207335203,1715.1130877855096,1716.1735075249405,1720.4651319918203,1732.294696700115,1744.3895388947697,1745.6774212048624,1745.5218933383385,1742.076355103782,1746.595725863786,1744.6000596072788,1741.7149046318775,1735.8901673424834,1739.2271439271117,1741.2867922185364,1744.881173013881,1747.432140366972,1753.1363532300848,1760.5627118935251,1762.1746062827585,1769.327940158181,1771.3496769584822,1772.7126224214092,1765.0301438411188,1769.3108113658418,1765.6456833117804,1773.6901253205097,1773.2825499503447,1787.1480790867029,1796.4637527552823,1799.0355401860113,1797.2664114733898,1795.7654902087456,1797.531696953283,1799.796899046752,1787.6726671285007,1790.9755616392376,1781.530971547954,1789.040191661746
394957,97,"Palm Bay, FL",msa,FL,940.4432422988763,949.9127624158083,957.7320637285876,969.1021185761729,977.0683068339947,987.1904244618895,993.6925095731227,1000.3703176791148,1006.2058801919588,1010.7850384763061,1017.1924983124493,1021.4667799667724,1024.2614559055532,1026.4100075003767,1029.1090889746883,1031.6834943277872,1036.0521646884617,1044.9707188756854,1057.194793506005,1069.5897370966834,1076.7940410325316,1081.1160959212134,1085.2579488907493,1090.6965371668641,1095.607097393126,1101.926502378907,1111.3272856052804,1121.0511960856277,1129.541885098491,1135.1428558796154,1143.1737413054627,1147.6564436072829,1155.8698984586188,1164.8907784498117,1168.0741409219384,1172.1105864494966,1174.0839086321387,1181.4248831351822,1188.0212192202987,1196.9976526477667,1210.3225397937656,1218.9309934549528,1223.664664984224,1229.9488512814135,1233.142881691145,1242.8177086377516,1243.9904541244505,1248.8192092999575,1245.9298936717496,1247.0789559195587,1253.2673789678408,1261.3238162464143,1270.12872069487,1272.4667121384473,1276.392089826767,1280.5850372231655,1287.9030124446954,1292.827698880059,1292.8112610532169,1294.2333885846056,1295.6629482418818,1304.022676454289,1306.169449231382,1308.3312474054367,1304.2336214781913,1312.1423351765513,1324.7361972356816,1343.5662332941451,1354.5293331461721,1366.19227891922,1372.5062533044174,1376.9792148597994,1382.76288000623,1397.166449027719,1412.6224762530746,1434.898955344584,1466.4123424273162,1500.438492344153,1539.1546486430448,1573.1668479778045,1613.4706465081397,1635.8523032488456,1655.5383726850994,1662.6776867629346,1675.6742001433415,1681.968454317209,1705.0424421690857,1732.0891461747765,1759.3225689513704,1788.0073102934523,1814.3456475970397,1826.1907914824578,1820.8771112917186,1816.4843085874313,1817.9817811580115,1816.737463177693,1815.2257875443863,1815.362944078833,1830.9936542874923,1833.7036399261028,1844.0392495785175,1847.3478762744426,1853.45765755835,1855.9673748618627,1848.949754078629,1839.0680667679628,1828.9082106371816,1819.967747503984,1828.7248589204976,1837.3614442558749,1848.9166703538335,1850.9493752406117,1853.4430359863186,1860.3261757608414,1865.7407939144912,1869.3140381297553,1869.2637468226812,1871.2334580206684,1872.6158774660946,1868.8056322894417,1865.216589299175,1870.0012598748738,1876.2317255967034,1883.647568547763,1886.9686047175144,1890.3380074320016,1890.5371691722667,1885.9077637893758,1887.3921367247565,1886.874361506482,1882.8080926785626,1882.2604223872324,1887.3464857786983
394971,111,"Pensacola, FL",msa,FL,883.005431460885,885.2320188852206,890.5310637444229,896.7296645207359,903.7272285167885,906.2732610412709,910.5545447673474,912.1747421822622,913.8689773741868,917.1852171231876,917.3419637495667,919.0195676841001,919.2085614874803,923.2350179495629,928.0700891679262,933.9489914573264,939.3734540658659,945.6219392339962,951.7976815619703,953.509362859464,953.507760628192,948.3152949786411,951.5950001333351,953.3662942020547,959.2294437644937,960.9445192398969,964.5575390476554,969.7695186685205,975.5649446835287,983.5233460382797,989.8874950150567,996.9706306909276,1000.9598737146223,1002.6933638674511,1005.4497466832009,1010.5006704869178,1015.8440609681106,1018.7665696828807,1021.045503354024,1025.4795303671315,1032.0196145676598,1039.0825796588279,1049.0888113072688,1058.2245930816666,1061.9393013738488,1058.78323197282,1063.5268113017414,1066.553870895684,1074.9327939323744,1076.3917362266766,1086.5046405232315,1095.5860560765245,1102.6180883082836,1107.2457834997106,1112.7277047806842,1120.1817588404874,1126.0573893139872,1129.023201725493,1132.6060931569925,1130.1367843950243,1135.041992267136,1141.0039004536725,1152.6630771300975,1158.8411487635908,1165.9962052478497,1172.5580218582384,1188.560328358713,1200.6096302067294,1220.3599961870254,1227.8759833406302,1231.0066348267824,1240.6648088298516,1248.2593001724263,1273.8766992928465,1287.2746697015716,,1372.050223155036,1406.4869726457698,1434.0990855963275,1470.218597806114,1509.5658568605718,1526.1872343288132,1520.554985228327,1524.4061332872693,1530.3675052529466,1542.3335350505538,1554.622681671092,1559.5963170862594,1578.5666941794798,1589.3949145358085,1598.019370498755,1604.3734709737607,1616.2767943920114,1619.3408875182326,1611.0886290558105,1595.161005426912,1595.8667181055237,1597.3687141452901,1605.7276137292067,1614.5749536527626,1621.7275180387608,1623.71368159362,1626.898534944083,1632.2241439758504,1631.2480305112088,1626.5373356931439,1618.473115746648,1623.4095051177585,1625.8284154797109,1636.5203986200806,1643.3106189791276,1648.8198099171766,1655.118753515357,1661.822030989772,1670.9290308686752,1678.9465030926897,1679.4863205213107,1676.2015711054105,1666.4698334531647,1658.784115946365,1653.3380937154502,1659.6187307871503,1668.987148350648,1679.1718366444634,1686.6081847593284,1692.1487300680117,1698.4973843621283,1701.8967541691638,1704.67035603177,1703.4848569475694,1704.4336249772307,1700.699600955321,1704.6357819924444
