RegionID,SizeRank,RegionName,RegionType,StateName,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
394856,8,"Miami, FL",msa,FL,3943.0,4583.0,5095.0,5142.0,5386.0,5076.0,4683.0,4616.0,4934.0,3923.0,5335.0,4278.0,4625.0,5875.0,6156.0,6247.0,7033.0,6968.0,6462.0,6708.0,7273.0,6536.0,7479.0,5998.0,5985.0,8468.0,8426.0,7860.0,8949.0,7598.0,7408.0,7247.0,6702.0,6668.0,8528.0,7505.0,7439.0,10044.0,9803.0,9498.0,9584.0,8550.0,9168.0,8502.0,7497.0,7625.0,8646.0,7097.0,7608.0,9590.0,9736.0,10204.0,9750.0,9162.0,9765.0,8025.0,9333.0,8904.0,9804.0,8302.0,8370.0,10317.0,11439.0,11790.0,10919.0,11269.0,10714.0,9672.0,10122.0,8877.0,10017.0,8374.0,8218.0,10297.0,11242.0,11021.0,10840.0,10718.0,9951.0,9922.0,10677.0,8554.0,10849.0,8141.0,8619.0,11174.0,11658.0,11179.0,12134.0,12076.0,10459.0,10538.0,10211.0,8427.0,10608.0,7883.0,8517.0,10952.0,10911.0,11153.0,11986.0,10152.0,10880.0,9934.0,8908.0,8852.0,9977.0,7971.0,8217.0,11546.0,10446.0,11840.0,11901.0,10119.0,10880.0,7249.0,8806.0,8274.0,9310.0,7869.0,7887.0,10591.0,10645.0,10921.0,11034.0,9883.0,10131.0,8120.0,8926.0,8211.0,7970.0,6648.0,7128.0,9561.0,10842.0,11577.0,10139.0,10840.0,9940.0,8918.0,9150.0,8034.0,9718.0,7905.0,7747.0,10057.0,7134.0,5531.0,8174.0,10717.0,10754.0,10661.0,11700.0,10257.0,12694.0,9769.0,10373.0,14943.0,15655.0,14621.0,16225.0,14532.0,13426.0,12240.0,11862.0,11611.0,13007.0,10541.0,10674.0,14456.0,13822.0,12923.0,12252.0,9772.0,9835.0,8426.0,7935.0,7029.0,7189.0,5635.0,6502.0,9753.0,8563.0,9933.0,9641.0,8020.0,8758.0,7807.0,7505.0,6509.0,6789.0,5642.0,6446.0,8111.0,9065.0,9205.0,7921.0,8056.0,7716.0,6464.0,6731.0,5741.0,6627.0,5553.0,5823.0,7726.0,8073.0,7663.0,7152.0,7230.0,6913.0,6967.0,7058.0,5838.0,7437.0,5544.0
395148,18,"Tampa, FL",msa,FL,2083.0,2492.0,2763.0,2799.0,2896.0,2898.0,2654.0,2599.0,2483.0,2001.0,2505.0,1968.0,2253.0,2765.0,2884.0,2884.0,3448.0,3343.0,3050.0,3268.0,3359.0,2936.0,3413.0,2339.0,2598.0,3688.0,3897.0,3640.0,3976.0,3037.0,2987.0,2997.0,2818.0,2725.0,3638.0,2818.0,3078.0,4261.0,4017.0,3839.0,3991.0,3578.0,3749.0,3475.0,3223.0,3014.0,3575.0,2838.0,3263.0,4122.0,4006.0,4301.0,4438.0,4119.0,4393.0,3812.0,4512.0,4187.0,4259.0,3621.0,3761.0,4765.0,5208.0,5568.0,5252.0,5380.0,5212.0,4669.0,4538.0,3887.0,4626.0,3636.0,3911.0,4845.0,5193.0,5319.0,5557.0,5285.0,5126.0,5039.0,5383.0,4349.0,5634.0,3916.0,4675.0,5952.0,6290.0,6192.0,6851.0,6568.0,5942.0,5743.0,5597.0,4582.0,5851.0,4207.0,4926.0,6157.0,6356.0,6541.0,6700.0,6097.0,6248.0,5775.0,5337.0,5418.0,5794.0,4620.0,5042.0,6798.0,6479.0,7353.0,7591.0,6509.0,6715.0,4943.0,5489.0,5224.0,5681.0,4410.0,4694.0,6290.0,6531.0,6979.0,6890.0,6369.0,6601.0,5291.0,5824.0,5301.0,5105.0,4113.0,4811.0,5999.0,6632.0,6959.0,6450.0,6625.0,6258.0,5441.0,5806.0,4926.0,5664.0,4140.0,4770.0,6116.0,4678.0,4206.0,6193.0,7108.0,6650.0,6494.0,6606.0,5818.0,6888.0,5031.0,5601.0,7619.0,7829.0,7086.0,7845.0,7265.0,7228.0,7165.0,6893.0,6738.0,7120.0,5614.0,5764.0,7120.0,6845.0,6876.0,6732.0,5435.0,5558.0,4194.0,4556.0,3548.0,3859.0,3095.0,3818.0,5179.0,4799.0,5609.0,5539.0,4710.0,4788.0,4621.0,4064.0,3465.0,3637.0,3137.0,3806.0,4696.0,5126.0,5292.0,4639.0,4709.0,4500.0,3367.0,3474.0,3386.0,4295.0,3362.0,3832.0,4858.0,4921.0,4941.0,4981.0,4530.0,4296.0,4143.0,4264.0,3542.0,4399.0,3139.0
394943,22,"Orlando, FL",msa,FL,1347.0,1553.0,1609.0,1751.0,1907.0,1894.0,1614.0,1788.0,1658.0,1381.0,1767.0,1443.0,1652.0,2209.0,2242.0,2312.0,2828.0,2957.0,2776.0,2828.0,2916.0,2706.0,2979.0,2264.0,2325.0,3226.0,3166.0,3230.0,3668.0,2885.0,3063.0,2898.0,2475.0,2424.0,3010.0,2589.0,2699.0,3291.0,3148.0,3121.0,3197.0,2863.0,3013.0,2755.0,2716.0,2522.0,2884.0,2271.0,2474.0,3162.0,3057.0,3243.0,3215.0,3054.0,3296.0,2636.0,3189.0,3060.0,3150.0,2610.0,2864.0,3340.0,3644.0,3858.0,3469.0,3858.0,3742.0,3157.0,3157.0,2729.0,3193.0,2540.0,2594.0,3147.0,3427.0,3632.0,3756.0,3798.0,3512.0,3518.0,3716.0,2943.0,3704.0,2782.0,3154.0,4069.0,4073.0,4190.0,4609.0,4523.0,4217.0,4004.0,3734.0,3080.0,3843.0,2858.0,3150.0,3992.0,4030.0,4405.0,4588.0,4217.0,4396.0,3962.0,3530.0,3254.0,3806.0,3017.0,3255.0,4400.0,3944.0,4826.0,4850.0,4298.0,4620.0,3318.0,3723.0,3461.0,3728.0,3079.0,3188.0,4278.0,4207.0,4753.0,4690.0,4548.0,4602.0,3760.0,4038.0,3501.0,3460.0,2883.0,3177.0,4001.0,4418.0,4697.0,4417.0,4681.0,4475.0,3909.0,4073.0,3415.0,3924.0,3053.0,3214.0,4096.0,2965.0,2708.0,3735.0,4515.0,4303.0,4280.0,4427.0,3943.0,4663.0,3517.0,3827.0,5393.0,5363.0,5103.0,5759.0,5394.0,5336.0,5145.0,4898.0,4732.0,4840.0,3959.0,4042.0,5194.0,4812.0,4780.0,4869.0,4167.0,4027.0,3212.0,3264.0,2424.0,2733.0,2009.0,2542.0,3377.0,3078.0,3554.0,3626.0,3193.0,3225.0,2846.0,2842.0,2286.0,2300.0,2055.0,2540.0,2994.0,3217.0,3368.0,2979.0,3130.0,2979.0,2655.0,2521.0,2116.0,2553.0,2009.0,2199.0,2863.0,3026.0,3083.0,3003.0,2970.0,2703.0,2566.0,2672.0,2206.0,2700.0,1972.0
394714,40,"Jacksonville, FL",msa,FL,942.0,1015.0,1102.0,1272.0,1281.0,1176.0,996.0,1036.0,1004.0,751.0,1022.0,724.0,819.0,994.0,1058.0,1167.0,1331.0,1354.0,1158.0,1279.0,1378.0,1269.0,1394.0,917.0,1021.0,1455.0,1471.0,1424.0,1630.0,1339.0,1348.0,1309.0,1176.0,1049.0,1415.0,1060.0,1182.0,1459.0,1507.0,1422.0,1631.0,1360.0,1545.0,1364.0,1241.0,1208.0,1417.0,976.0,1282.0,1521.0,1491.0,1588.0,1716.0,1554.0,1692.0,1431.0,1740.0,1630.0,1847.0,1425.0,1483.0,1927.0,2106.0,2313.0,2206.0,2228.0,2228.0,1921.0,1997.0,1734.0,2147.0,1612.0,1606.0,1880.0,2097.0,2292.0,2354.0,2435.0,2242.0,2161.0,2263.0,1735.0,2305.0,1562.0,1786.0,2469.0,2473.0,2506.0,2879.0,2903.0,2535.0,2613.0,2320.0,1883.0,2373.0,1852.0,2012.0,2601.0,2614.0,2779.0,3079.0,2720.0,2885.0,2525.0,2150.0,2144.0,2439.0,1932.0,2003.0,2725.0,2729.0,3177.0,3240.0,2796.0,3106.0,2151.0,2386.0,2346.0,2580.0,1869.0,2061.0,2633.0,2949.0,3173.0,3156.0,2957.0,2945.0,2494.0,2593.0,2295.0,2249.0,1885.0,1998.0,2565.0,3046.0,3266.0,3059.0,3100.0,3048.0,2570.0,2569.0,2176.0,2577.0,1985.0,2324.0,2804.0,2313.0,2078.0,2922.0,3609.0,3300.0,3266.0,3343.0,2807.0,3213.0,2535.0,2819.0,3604.0,3889.0,3954.0,4228.0,4113.0,3985.0,3567.0,3667.0,3675.0,3627.0,2849.0,2915.0,3571.0,3485.0,3816.0,3551.0,2829.0,2858.0,2266.0,2399.0,1878.0,1882.0,1527.0,1822.0,2667.0,2313.0,2768.0,2775.0,2298.0,2392.0,2165.0,2030.0,1769.0,1694.0,1452.0,1866.0,2235.0,2572.0,2529.0,2366.0,2382.0,2279.0,1805.0,1950.0,1687.0,1983.0,1611.0,1678.0,2153.0,2303.0,2335.0,2433.0,2347.0,2157.0,2026.0,2093.0,1603.0,2088.0,1504.0
753906,73,"North Port, FL",msa,FL,789.0,948.0,1076.0,1135.0,1048.0,1011.0,849.0,836.0,859.0,703.0,971.0,769.0,924.0,1175.0,1172.0,1176.0,1242.0,1188.0,1001.0,1079.0,1169.0,1120.0,1345.0,969.0,1120.0,1567.0,1497.0,1541.0,1605.0,1092.0,1162.0,1134.0,1033.0,1081.0,1432.0,1093.0,1272.0,1689.0,1641.0,1665.0,1517.0,1280.0,1284.0,1226.0,1214.0,1194.0,1448.0,1194.0,1393.0,1773.0,1855.0,1909.0,1721.0,1508.0,1651.0,1351.0,1575.0,1595.0,1761.0,1358.0,1520.0,2016.0,2164.0,2200.0,1912.0,1875.0,1901.0,1573.0,1677.0,1533.0,1769.0,1481.0,1506.0,1955.0,2199.0,2071.0,1981.0,1859.0,1806.0,1755.0,1931.0,1470.0,1910.0,1471.0,1577.0,2268.0,2321.0,2308.0,2316.0,2153.0,1936.0,1825.0,1798.0,1494.0,1857.0,1425.0,1512.0,2076.0,2185.0,2152.0,2119.0,1728.0,1792.0,1722.0,1623.0,1561.0,1782.0,1387.0,1574.0,2259.0,2165.0,2351.0,2194.0,1848.0,2004.0,1481.0,1566.0,1587.0,1758.0,1522.0,1680.0,2264.0,2407.0,2352.0,2168.0,1978.0,2020.0,1518.0,1657.0,1611.0,1507.0,1260.0,1507.0,2055.0,2306.0,2401.0,2069.0,1948.0,1943.0,1689.0,1872.0,1597.0,1911.0,1473.0,1733.0,2220.0,1630.0,1296.0,1916.0,2388.0,2312.0,2344.0,2428.0,2277.0,2754.0,1982.0,2306.0,3474.0,3287.0,2850.0,3152.0,2612.0,2395.0,2368.0,2251.0,2329.0,2498.0,1972.0,1998.0,2577.0,2626.0,2636.0,2238.0,1802.0,1731.0,1183.0,1382.0,1066.0,1239.0,1032.0,1284.0,1969.0,1786.0,2086.0,1972.0,1501.0,1567.0,1526.0,1418.0,1240.0,1325.0,1177.0,1440.0,1839.0,2073.0,2111.0,1637.0,1586.0,1439.0,1151.0,1167.0,1059.0,1380.0,1279.0,1325.0,1841.0,1966.0,1855.0,1660.0,1590.0,1451.0,1474.0,1500.0,1337.0,1718.0,1350.0
394440,78,"Cape Coral, FL",msa,FL,798.0,1087.0,1308.0,1344.0,1255.0,1195.0,1114.0,1093.0,1196.0,968.0,1412.0,1213.0,1435.0,1959.0,2141.0,2149.0,2451.0,2131.0,1904.0,1917.0,1959.0,1806.0,2193.0,1708.0,1867.0,2496.0,2555.0,2271.0,2161.0,1675.0,1653.0,1636.0,1548.0,1517.0,1933.0,1747.0,1979.0,2593.0,2405.0,2043.0,1971.0,1647.0,1715.0,1615.0,1454.0,1490.0,1567.0,1511.0,1719.0,2268.0,2218.0,2134.0,1922.0,1596.0,1619.0,1391.0,1558.0,1568.0,1760.0,1487.0,1660.0,2169.0,2357.0,2373.0,1996.0,1903.0,1841.0,1634.0,1725.0,1533.0,1763.0,1576.0,1623.0,2136.0,2483.0,2426.0,2080.0,1868.0,1835.0,1730.0,1897.0,1574.0,2130.0,1629.0,1888.0,2443.0,2593.0,2387.0,2423.0,2148.0,1871.0,1918.0,1969.0,1573.0,1926.0,1525.0,1517.0,2230.0,2389.0,2268.0,2060.0,1780.0,1842.0,1665.0,1671.0,1699.0,1818.0,1537.0,1583.0,2508.0,2204.0,2375.0,2195.0,1859.0,2009.0,1230.0,1459.0,1443.0,1815.0,1610.0,1649.0,2304.0,2560.0,2351.0,2042.0,1862.0,1926.0,1454.0,1566.0,1533.0,1437.0,1229.0,1490.0,1973.0,2327.0,2389.0,1905.0,1932.0,1786.0,1598.0,1674.0,1457.0,1888.0,1570.0,1748.0,2231.0,1791.0,1250.0,1776.0,2178.0,2248.0,2395.0,2869.0,2479.0,2893.0,2231.0,2686.0,4304.0,4413.0,3934.0,4083.0,3488.0,3079.0,3057.0,2925.0,2967.0,3308.0,2756.0,3068.0,4046.0,4021.0,3898.0,3400.0,2434.0,2345.0,1714.0,1477.0,1574.0,1750.0,1596.0,1872.0,2675.0,2490.0,2732.0,2236.0,1767.0,1876.0,1659.0,1588.0,1384.0,1351.0,1183.0,1401.0,1855.0,1989.0,1869.0,1461.0,1391.0,1352.0,1076.0,1009.0,912.0,1186.0,1111.0,1172.0,1719.0,1816.0,1694.0,1501.0,1365.0,1296.0,1278.0,1319.0,1121.0,1462.0,1119.0
394766,82,"Lakeland, FL",msa,FL,450.0,514.0,502.0,528.0,566.0,548.0,473.0,539.0,507.0,401.0,519.0,420.0,492.0,573.0,603.0,602.0,602.0,623.0,587.0,642.0,658.0,606.0,682.0,538.0,584.0,756.0,854.0,776.0,844.0,677.0,651.0,603.0,564.0,524.0,650.0,596.0,644.0,801.0,798.0,647.0,699.0,616.0,713.0,614.0,600.0,612.0,646.0,518.0,588.0,745.0,750.0,756.0,701.0,732.0,747.0,624.0,796.0,733.0,794.0,702.0,695.0,895.0,957.0,931.0,868.0,903.0,875.0,821.0,812.0,703.0,821.0,649.0,690.0,838.0,925.0,989.0,882.0,899.0,864.0,818.0,918.0,707.0,906.0,683.0,759.0,1005.0,1053.0,1024.0,1091.0,990.0,982.0,976.0,960.0,801.0,1052.0,694.0,863.0,1005.0,1058.0,1045.0,1129.0,1057.0,1137.0,950.0,965.0,925.0,1052.0,829.0,834.0,1142.0,1039.0,1194.0,1171.0,1117.0,1189.0,819.0,1005.0,994.0,1006.0,801.0,849.0,1118.0,1183.0,1332.0,1227.0,1189.0,1279.0,1033.0,1240.0,971.0,991.0,768.0,865.0,1137.0,1291.0,1324.0,1143.0,1219.0,1199.0,1066.0,1083.0,1026.0,1041.0,869.0,900.0,1083.0,891.0,726.0,1083.0,1186.0,1218.0,1253.0,1298.0,1067.0,1309.0,960.0,1085.0,1428.0,1439.0,1229.0,1501.0,1335.0,1406.0,1408.0,1389.0,1399.0,1419.0,1217.0,1210.0,1617.0,1460.0,1543.0,1488.0,1259.0,1200.0,915.0,964.0,768.0,850.0,624.0,763.0,1096.0,1024.0,1180.0,1151.0,1000.0,1062.0,923.0,871.0,738.0,807.0,706.0,796.0,914.0,1029.0,1036.0,969.0,998.0,854.0,798.0,692.0,675.0,837.0,559.0,651.0,905.0,993.0,937.0,861.0,945.0,829.0,841.0,869.0,647.0,846.0,621.0
394528,90,"Deltona, FL",msa,FL,550.0,587.0,641.0,724.0,656.0,694.0,637.0,607.0,561.0,478.0,596.0,454.0,570.0,679.0,699.0,732.0,754.0,839.0,771.0,793.0,787.0,842.0,884.0,645.0,682.0,876.0,961.0,927.0,1016.0,756.0,813.0,801.0,735.0,693.0,895.0,660.0,752.0,968.0,1049.0,1015.0,1041.0,898.0,997.0,866.0,838.0,772.0,983.0,733.0,877.0,1043.0,1131.0,1197.0,1097.0,1024.0,1119.0,983.0,1129.0,1061.0,1080.0,939.0,1018.0,1227.0,1445.0,1449.0,1242.0,1519.0,1425.0,1209.0,1225.0,1123.0,1219.0,975.0,1028.0,1208.0,1390.0,1416.0,1439.0,1352.0,1419.0,1333.0,1354.0,1149.0,1419.0,1042.0,1175.0,1470.0,1585.0,1488.0,1644.0,1589.0,1528.0,1425.0,1367.0,1125.0,1475.0,1043.0,1166.0,1537.0,1516.0,1603.0,1777.0,1499.0,1609.0,1399.0,1240.0,1230.0,1379.0,1089.0,1248.0,1689.0,1523.0,1768.0,1798.0,1590.0,1602.0,1211.0,1280.0,1214.0,1408.0,1079.0,1209.0,1521.0,1658.0,1811.0,1743.0,1570.0,1729.0,1458.0,1405.0,1244.0,1354.0,952.0,1116.0,1406.0,1562.0,1720.0,1499.0,1514.0,1458.0,1228.0,1325.0,1200.0,1474.0,1096.0,1248.0,1443.0,1085.0,1039.0,1592.0,1830.0,1806.0,1767.0,1764.0,1507.0,1833.0,1360.0,1465.0,2044.0,2092.0,1903.0,2053.0,1910.0,1829.0,1746.0,1733.0,1803.0,1830.0,1386.0,1523.0,1981.0,1830.0,1839.0,1673.0,1509.0,1562.0,1221.0,1180.0,877.0,1008.0,749.0,1003.0,1420.0,1254.0,1563.0,1469.0,1305.0,1408.0,1334.0,1130.0,957.0,1012.0,846.0,943.0,1243.0,1398.0,1325.0,1177.0,1173.0,1240.0,945.0,873.0,760.0,994.0,801.0,894.0,1145.0,1208.0,1207.0,1192.0,1219.0,1136.0,1145.0,1112.0,910.0,1179.0,794.0
